Query 13: code optimization for space efficiency

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.091
02  	  R  	  1.000  	  0.182
03  	  R  	  1.000  	  0.273
04  	  R  	  1.000  	  0.364
05  	  N  	  0.800  	  0.364
06  	  N  	  0.667  	  0.364
07  	  N  	  0.571  	  0.364
08  	  N  	  0.500  	  0.364
09  	  N  	  0.444  	  0.364
10  	  N  	  0.400  	  0.364
11  	  N  	  0.364  	  0.364
12  	  N  	  0.333  	  0.364
13  	  N  	  0.308  	  0.364
14  	  N  	  0.286  	  0.364
15  	  R  	  0.333  	  0.455
16  	  N  	  0.312  	  0.455
17  	  R  	  0.353  	  0.545
18  	  N  	  0.333  	  0.545
19  	  R  	  0.368  	  0.636
20  	  N  	  0.350  	  0.636
21  	  N  	  0.333  	  0.636
22  	  N  	  0.318  	  0.636
23  	  N  	  0.304  	  0.636
24  	  N  	  0.292  	  0.636
25  	  N  	  0.280  	  0.636
26  	  N  	  0.269  	  0.636
27  	  N  	  0.259  	  0.636
28  	  N  	  0.250  	  0.636
29  	  N  	  0.241  	  0.636
30  	  N  	  0.233  	  0.636
31  	  N  	  0.226  	  0.636
32  	  N  	  0.219  	  0.636
33  	  N  	  0.212  	  0.636
34  	  N  	  0.206  	  0.636
35  	  N  	  0.200  	  0.636
36  	  N  	  0.194  	  0.636
37  	  N  	  0.189  	  0.636
38  	  N  	  0.184  	  0.636
39  	  N  	  0.179  	  0.636
40  	  N  	  0.175  	  0.636
41  	  N  	  0.171  	  0.636
42  	  N  	  0.167  	  0.636
43  	  N  	  0.163  	  0.636
44  	  N  	  0.159  	  0.636
45  	  N  	  0.156  	  0.636
46  	  N  	  0.152  	  0.636
47  	  N  	  0.149  	  0.636
48  	  N  	  0.146  	  0.636
49  	  N  	  0.143  	  0.636
50  	  N  	  0.140  	  0.636
51  	  N  	  0.137  	  0.636
52  	  N  	  0.135  	  0.636
53  	  N  	  0.132  	  0.636
54  	  N  	  0.130  	  0.636
55  	  N  	  0.127  	  0.636
56  	  N  	  0.125  	  0.636
57  	  N  	  0.123  	  0.636
58  	  N  	  0.121  	  0.636
59  	  N  	  0.119  	  0.636
60  	  N  	  0.117  	  0.636
61  	  N  	  0.115  	  0.636
62  	  N  	  0.113  	  0.636
63  	  N  	  0.111  	  0.636
64  	  N  	  0.109  	  0.636
65  	  N  	  0.108  	  0.636
66  	  N  	  0.106  	  0.636
67  	  N  	  0.104  	  0.636
68  	  N  	  0.103  	  0.636
69  	  N  	  0.101  	  0.636
70  	  N  	  0.100  	  0.636
71  	  N  	  0.099  	  0.636
72  	  N  	  0.097  	  0.636
73  	  N  	  0.096  	  0.636
74  	  N  	  0.095  	  0.636
75  	  N  	  0.093  	  0.636
76  	  N  	  0.092  	  0.636
77  	  N  	  0.091  	  0.636
78  	  N  	  0.090  	  0.636
79  	  N  	  0.089  	  0.636
80  	  N  	  0.087  	  0.636
81  	  N  	  0.086  	  0.636
82  	  N  	  0.085  	  0.636
83  	  N  	  0.084  	  0.636
84  	  N  	  0.083  	  0.636
85  	  N  	  0.082  	  0.636
86  	  N  	  0.081  	  0.636
87  	  N  	  0.080  	  0.636
88  	  N  	  0.080  	  0.636
89  	  N  	  0.079  	  0.636
90  	  N  	  0.078  	  0.636
91  	  R  	  0.088  	  0.727
92  	  N  	  0.087  	  0.727
93  	  N  	  0.086  	  0.727
94  	  N  	  0.085  	  0.727
95  	  R  	  0.095  	  0.818
96  	  N  	  0.094  	  0.818
97  	  N  	  0.093  	  0.818
98  	  N  	  0.092  	  0.818
99  	  N  	  0.091  	  0.818
100  	  N  	  0.090  	  0.818
