Query 60: hardware and software relating to database management systems database packages back end computers special associative hardware with microcomputers attached to disk heads or things like rap relational or network codasyl or hierarchical models systems like system r ims adabas total etc

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.037
04  	  N  	  0.250  	  0.037
05  	  N  	  0.200  	  0.037
06  	  N  	  0.167  	  0.037
07  	  R  	  0.286  	  0.074
08  	  N  	  0.250  	  0.074
09  	  N  	  0.222  	  0.074
10  	  N  	  0.200  	  0.074
11  	  N  	  0.182  	  0.074
12  	  N  	  0.167  	  0.074
13  	  N  	  0.154  	  0.074
14  	  N  	  0.143  	  0.074
15  	  N  	  0.133  	  0.074
16  	  N  	  0.125  	  0.074
17  	  N  	  0.118  	  0.074
18  	  N  	  0.111  	  0.074
19  	  N  	  0.105  	  0.074
20  	  N  	  0.100  	  0.074
21  	  N  	  0.095  	  0.074
22  	  N  	  0.091  	  0.074
23  	  N  	  0.087  	  0.074
24  	  N  	  0.083  	  0.074
25  	  N  	  0.080  	  0.074
26  	  N  	  0.077  	  0.074
27  	  N  	  0.074  	  0.074
28  	  N  	  0.071  	  0.074
29  	  N  	  0.069  	  0.074
30  	  N  	  0.067  	  0.074
31  	  N  	  0.065  	  0.074
32  	  N  	  0.062  	  0.074
33  	  N  	  0.061  	  0.074
34  	  N  	  0.059  	  0.074
35  	  N  	  0.057  	  0.074
36  	  N  	  0.056  	  0.074
37  	  N  	  0.054  	  0.074
38  	  N  	  0.053  	  0.074
39  	  N  	  0.051  	  0.074
40  	  N  	  0.050  	  0.074
41  	  R  	  0.073  	  0.111
42  	  N  	  0.071  	  0.111
43  	  N  	  0.070  	  0.111
44  	  N  	  0.068  	  0.111
45  	  N  	  0.067  	  0.111
46  	  N  	  0.065  	  0.111
47  	  N  	  0.064  	  0.111
48  	  N  	  0.062  	  0.111
49  	  N  	  0.061  	  0.111
50  	  N  	  0.060  	  0.111
51  	  N  	  0.059  	  0.111
52  	  N  	  0.058  	  0.111
53  	  R  	  0.075  	  0.148
54  	  R  	  0.093  	  0.185
55  	  N  	  0.091  	  0.185
56  	  R  	  0.107  	  0.222
57  	  N  	  0.105  	  0.222
58  	  N  	  0.103  	  0.222
59  	  N  	  0.102  	  0.222
60  	  N  	  0.100  	  0.222
61  	  N  	  0.098  	  0.222
62  	  N  	  0.097  	  0.222
63  	  N  	  0.095  	  0.222
64  	  N  	  0.094  	  0.222
65  	  N  	  0.092  	  0.222
66  	  N  	  0.091  	  0.222
67  	  N  	  0.090  	  0.222
68  	  N  	  0.088  	  0.222
69  	  N  	  0.087  	  0.222
70  	  N  	  0.086  	  0.222
71  	  N  	  0.085  	  0.222
72  	  N  	  0.083  	  0.222
73  	  N  	  0.082  	  0.222
74  	  N  	  0.081  	  0.222
75  	  N  	  0.080  	  0.222
76  	  N  	  0.079  	  0.222
77  	  N  	  0.078  	  0.222
78  	  N  	  0.077  	  0.222
79  	  R  	  0.089  	  0.259
80  	  N  	  0.087  	  0.259
81  	  N  	  0.086  	  0.259
82  	  N  	  0.085  	  0.259
83  	  N  	  0.084  	  0.259
84  	  N  	  0.083  	  0.259
85  	  N  	  0.082  	  0.259
86  	  R  	  0.093  	  0.296
87  	  N  	  0.092  	  0.296
88  	  N  	  0.091  	  0.296
89  	  R  	  0.101  	  0.333
90  	  R  	  0.111  	  0.370
91  	  N  	  0.110  	  0.370
92  	  N  	  0.109  	  0.370
93  	  N  	  0.108  	  0.370
94  	  N  	  0.106  	  0.370
95  	  N  	  0.105  	  0.370
96  	  N  	  0.104  	  0.370
97  	  N  	  0.103  	  0.370
98  	  N  	  0.102  	  0.370
99  	  N  	  0.101  	  0.370
100  	  N  	  0.100  	  0.370
