Query 36: fast algorithm for context free language recognition or parsing

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.050
02  	  R  	  1.000  	  0.100
03  	  N  	  0.667  	  0.100
04  	  N  	  0.500  	  0.100
05  	  N  	  0.400  	  0.100
06  	  R  	  0.500  	  0.150
07  	  N  	  0.429  	  0.150
08  	  N  	  0.375  	  0.150
09  	  R  	  0.444  	  0.200
10  	  N  	  0.400  	  0.200
11  	  N  	  0.364  	  0.200
12  	  R  	  0.417  	  0.250
13  	  N  	  0.385  	  0.250
14  	  R  	  0.429  	  0.300
15  	  R  	  0.467  	  0.350
16  	  N  	  0.438  	  0.350
17  	  R  	  0.471  	  0.400
18  	  R  	  0.500  	  0.450
19  	  R  	  0.526  	  0.500
20  	  R  	  0.550  	  0.550
21  	  R  	  0.571  	  0.600
22  	  N  	  0.545  	  0.600
23  	  R  	  0.565  	  0.650
24  	  N  	  0.542  	  0.650
25  	  N  	  0.520  	  0.650
26  	  N  	  0.500  	  0.650
27  	  N  	  0.481  	  0.650
28  	  N  	  0.464  	  0.650
29  	  R  	  0.483  	  0.700
30  	  N  	  0.467  	  0.700
31  	  N  	  0.452  	  0.700
32  	  N  	  0.438  	  0.700
33  	  N  	  0.424  	  0.700
34  	  N  	  0.412  	  0.700
35  	  N  	  0.400  	  0.700
36  	  N  	  0.389  	  0.700
37  	  N  	  0.378  	  0.700
38  	  N  	  0.368  	  0.700
39  	  N  	  0.359  	  0.700
40  	  N  	  0.350  	  0.700
41  	  N  	  0.341  	  0.700
42  	  N  	  0.333  	  0.700
43  	  N  	  0.326  	  0.700
44  	  N  	  0.318  	  0.700
45  	  N  	  0.311  	  0.700
46  	  N  	  0.304  	  0.700
47  	  N  	  0.298  	  0.700
48  	  N  	  0.292  	  0.700
49  	  R  	  0.306  	  0.750
50  	  N  	  0.300  	  0.750
51  	  R  	  0.314  	  0.800
52  	  N  	  0.308  	  0.800
53  	  N  	  0.302  	  0.800
54  	  N  	  0.296  	  0.800
55  	  N  	  0.291  	  0.800
56  	  N  	  0.286  	  0.800
57  	  N  	  0.281  	  0.800
58  	  N  	  0.276  	  0.800
59  	  N  	  0.271  	  0.800
60  	  R  	  0.283  	  0.850
61  	  N  	  0.279  	  0.850
62  	  N  	  0.274  	  0.850
63  	  N  	  0.270  	  0.850
64  	  N  	  0.266  	  0.850
65  	  N  	  0.262  	  0.850
66  	  N  	  0.258  	  0.850
67  	  N  	  0.254  	  0.850
68  	  N  	  0.250  	  0.850
69  	  N  	  0.246  	  0.850
70  	  N  	  0.243  	  0.850
71  	  N  	  0.239  	  0.850
72  	  N  	  0.236  	  0.850
73  	  N  	  0.233  	  0.850
74  	  N  	  0.230  	  0.850
75  	  N  	  0.227  	  0.850
76  	  N  	  0.224  	  0.850
77  	  N  	  0.221  	  0.850
78  	  N  	  0.218  	  0.850
79  	  N  	  0.215  	  0.850
80  	  N  	  0.212  	  0.850
81  	  N  	  0.210  	  0.850
82  	  N  	  0.207  	  0.850
83  	  N  	  0.205  	  0.850
84  	  N  	  0.202  	  0.850
85  	  N  	  0.200  	  0.850
86  	  N  	  0.198  	  0.850
87  	  N  	  0.195  	  0.850
88  	  N  	  0.193  	  0.850
89  	  N  	  0.191  	  0.850
90  	  N  	  0.189  	  0.850
91  	  N  	  0.187  	  0.850
92  	  N  	  0.185  	  0.850
93  	  N  	  0.183  	  0.850
94  	  N  	  0.181  	  0.850
95  	  N  	  0.179  	  0.850
96  	  N  	  0.177  	  0.850
97  	  N  	  0.175  	  0.850
98  	  N  	  0.173  	  0.850
99  	  N  	  0.172  	  0.850
100  	  N  	  0.170  	  0.850
