Query 14: find all discussions of optimal implementations of sort algorithms for database management applications

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.023
02  	  R  	  1.000  	  0.045
03  	  N  	  0.667  	  0.045
04  	  N  	  0.500  	  0.045
05  	  N  	  0.400  	  0.045
06  	  N  	  0.333  	  0.045
07  	  N  	  0.286  	  0.045
08  	  N  	  0.250  	  0.045
09  	  R  	  0.333  	  0.068
10  	  N  	  0.300  	  0.068
11  	  R  	  0.364  	  0.091
12  	  N  	  0.333  	  0.091
13  	  N  	  0.308  	  0.091
14  	  N  	  0.286  	  0.091
15  	  N  	  0.267  	  0.091
16  	  N  	  0.250  	  0.091
17  	  N  	  0.235  	  0.091
18  	  N  	  0.222  	  0.091
19  	  N  	  0.211  	  0.091
20  	  N  	  0.200  	  0.091
21  	  N  	  0.190  	  0.091
22  	  R  	  0.227  	  0.114
23  	  N  	  0.217  	  0.114
24  	  N  	  0.208  	  0.114
25  	  N  	  0.200  	  0.114
26  	  N  	  0.192  	  0.114
27  	  N  	  0.185  	  0.114
28  	  N  	  0.179  	  0.114
29  	  N  	  0.172  	  0.114
30  	  N  	  0.167  	  0.114
31  	  N  	  0.161  	  0.114
32  	  N  	  0.156  	  0.114
33  	  N  	  0.152  	  0.114
34  	  N  	  0.147  	  0.114
35  	  N  	  0.143  	  0.114
36  	  N  	  0.139  	  0.114
37  	  R  	  0.162  	  0.136
38  	  N  	  0.158  	  0.136
39  	  N  	  0.154  	  0.136
40  	  N  	  0.150  	  0.136
41  	  N  	  0.146  	  0.136
42  	  N  	  0.143  	  0.136
43  	  N  	  0.140  	  0.136
44  	  N  	  0.136  	  0.136
45  	  N  	  0.133  	  0.136
46  	  N  	  0.130  	  0.136
47  	  N  	  0.128  	  0.136
48  	  N  	  0.125  	  0.136
49  	  N  	  0.122  	  0.136
50  	  N  	  0.120  	  0.136
51  	  N  	  0.118  	  0.136
52  	  N  	  0.115  	  0.136
53  	  N  	  0.113  	  0.136
54  	  N  	  0.111  	  0.136
55  	  N  	  0.109  	  0.136
56  	  N  	  0.107  	  0.136
57  	  N  	  0.105  	  0.136
58  	  N  	  0.103  	  0.136
59  	  N  	  0.102  	  0.136
60  	  R  	  0.117  	  0.159
61  	  N  	  0.115  	  0.159
62  	  N  	  0.113  	  0.159
63  	  N  	  0.111  	  0.159
64  	  N  	  0.109  	  0.159
65  	  N  	  0.108  	  0.159
66  	  N  	  0.106  	  0.159
67  	  N  	  0.104  	  0.159
68  	  R  	  0.118  	  0.182
69  	  N  	  0.116  	  0.182
70  	  N  	  0.114  	  0.182
71  	  N  	  0.113  	  0.182
72  	  N  	  0.111  	  0.182
73  	  N  	  0.110  	  0.182
74  	  N  	  0.108  	  0.182
75  	  N  	  0.107  	  0.182
76  	  N  	  0.105  	  0.182
77  	  N  	  0.104  	  0.182
78  	  N  	  0.103  	  0.182
79  	  N  	  0.101  	  0.182
80  	  N  	  0.100  	  0.182
81  	  N  	  0.099  	  0.182
82  	  N  	  0.098  	  0.182
83  	  N  	  0.096  	  0.182
84  	  N  	  0.095  	  0.182
85  	  N  	  0.094  	  0.182
86  	  N  	  0.093  	  0.182
87  	  N  	  0.092  	  0.182
88  	  N  	  0.091  	  0.182
89  	  N  	  0.090  	  0.182
90  	  N  	  0.089  	  0.182
91  	  N  	  0.088  	  0.182
92  	  R  	  0.098  	  0.205
93  	  N  	  0.097  	  0.205
94  	  N  	  0.096  	  0.205
95  	  N  	  0.095  	  0.205
96  	  N  	  0.094  	  0.205
97  	  N  	  0.093  	  0.205
98  	  R  	  0.102  	  0.227
99  	  N  	  0.101  	  0.227
100  	  N  	  0.100  	  0.227
