Query 11: setl very high leevl lgaeguans

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.053
02  	  N  	  0.500  	  0.053
03  	  R  	  0.667  	  0.105
04  	  N  	  0.500  	  0.105
05  	  N  	  0.400  	  0.105
06  	  N  	  0.333  	  0.105
07  	  R  	  0.429  	  0.158
08  	  N  	  0.375  	  0.158
09  	  N  	  0.333  	  0.158
10  	  R  	  0.400  	  0.211
11  	  N  	  0.364  	  0.211
12  	  N  	  0.333  	  0.211
13  	  N  	  0.308  	  0.211
14  	  N  	  0.286  	  0.211
15  	  N  	  0.267  	  0.211
16  	  R  	  0.312  	  0.263
17  	  R  	  0.353  	  0.316
18  	  N  	  0.333  	  0.316
19  	  R  	  0.368  	  0.368
20  	  N  	  0.350  	  0.368
21  	  N  	  0.333  	  0.368
22  	  N  	  0.318  	  0.368
23  	  N  	  0.304  	  0.368
24  	  N  	  0.292  	  0.368
25  	  N  	  0.280  	  0.368
26  	  N  	  0.269  	  0.368
27  	  N  	  0.259  	  0.368
28  	  N  	  0.250  	  0.368
29  	  N  	  0.241  	  0.368
30  	  N  	  0.233  	  0.368
31  	  N  	  0.226  	  0.368
32  	  N  	  0.219  	  0.368
33  	  N  	  0.212  	  0.368
34  	  N  	  0.206  	  0.368
35  	  N  	  0.200  	  0.368
36  	  N  	  0.194  	  0.368
37  	  N  	  0.189  	  0.368
38  	  N  	  0.184  	  0.368
39  	  N  	  0.179  	  0.368
40  	  N  	  0.175  	  0.368
41  	  N  	  0.171  	  0.368
42  	  N  	  0.167  	  0.368
43  	  N  	  0.163  	  0.368
44  	  N  	  0.159  	  0.368
45  	  N  	  0.156  	  0.368
46  	  N  	  0.152  	  0.368
47  	  N  	  0.149  	  0.368
48  	  N  	  0.146  	  0.368
49  	  N  	  0.143  	  0.368
50  	  N  	  0.140  	  0.368
51  	  N  	  0.137  	  0.368
52  	  N  	  0.135  	  0.368
53  	  N  	  0.132  	  0.368
54  	  R  	  0.148  	  0.421
55  	  N  	  0.145  	  0.421
56  	  N  	  0.143  	  0.421
57  	  N  	  0.140  	  0.421
58  	  N  	  0.138  	  0.421
59  	  N  	  0.136  	  0.421
60  	  N  	  0.133  	  0.421
61  	  N  	  0.131  	  0.421
62  	  N  	  0.129  	  0.421
63  	  N  	  0.127  	  0.421
64  	  N  	  0.125  	  0.421
65  	  N  	  0.123  	  0.421
66  	  N  	  0.121  	  0.421
67  	  N  	  0.119  	  0.421
68  	  N  	  0.118  	  0.421
69  	  N  	  0.116  	  0.421
70  	  N  	  0.114  	  0.421
71  	  N  	  0.113  	  0.421
72  	  N  	  0.111  	  0.421
73  	  N  	  0.110  	  0.421
74  	  R  	  0.122  	  0.474
75  	  N  	  0.120  	  0.474
76  	  N  	  0.118  	  0.474
77  	  N  	  0.117  	  0.474
78  	  N  	  0.115  	  0.474
79  	  N  	  0.114  	  0.474
80  	  N  	  0.113  	  0.474
81  	  N  	  0.111  	  0.474
82  	  N  	  0.110  	  0.474
83  	  N  	  0.108  	  0.474
84  	  N  	  0.107  	  0.474
85  	  R  	  0.118  	  0.526
86  	  N  	  0.116  	  0.526
87  	  N  	  0.115  	  0.526
88  	  N  	  0.114  	  0.526
89  	  N  	  0.112  	  0.526
90  	  N  	  0.111  	  0.526
91  	  N  	  0.110  	  0.526
92  	  N  	  0.109  	  0.526
93  	  N  	  0.108  	  0.526
94  	  N  	  0.106  	  0.526
95  	  N  	  0.105  	  0.526
96  	  N  	  0.104  	  0.526
97  	  N  	  0.103  	  0.526
98  	  N  	  0.102  	  0.526
99  	  N  	  0.101  	  0.526
100  	  N  	  0.100  	  0.526
